Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
Setra,270-600/12V,1351372,FWVZ,30,0,0,0,2001-07-04T13:30:00Z,2008-02-06T12:00:00Z
Setra,270-600/12V,1456230,WIZ,30,0,0,0,2002-11-28T09:23:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,3794081,WHVZ,30,0,0,0,2009-03-24T15:00:00Z,2010-11-11T11:00:00Z
Setra,270-600/12V,3794082,TRVZ,30,0,0,0,2009-04-14T10:15:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,3794083,TOVZ,30,0,0,0,2009-02-10T15:00:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,3794084,IVVZ,30,0,0,0,2009-01-28T11:00:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,3891532,BCKZ,30,0,0,0,2009-05-17T13:00:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,5447411,TMVZ,30,0,0,0,2013-05-13T15:00:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,5447412,WTVZ,30,0,0,0,2013-09-17T14:06:00Z,9999-01-01T00:00:00Z
Setra,270-600/12V,5447416,NEZ,30,0,0,0,2014-03-20T11:00:02Z,9999-01-01T00:00:00Z
Setra,270-600/12V,6493018,MAVZ,30,0,0,0,2015-01-08T11:01:00Z,9999-01-01T00:00:00Z
Setra,270-600/24V,2261015,GNSW,31,0,0,0,2006-08-30T12:00:02Z,2007-01-23T12:00:00Z
Setra,270-600/24V,2261015,COVZ,30,0,0,-10,2007-03-08T11:01:00Z,9999-01-01T00:00:00Z
Setra,270-600/24V,2625797,KRVZ,30,0,0,0,2012-11-22T07:30:00Z,9999-01-01T00:00:00Z
Setra,270-600/24V,2625798,FWVZ,30,0,0,0,2008-02-06T15:00:00Z,9999-01-01T00:00:00Z
Setra,270-600/24V,2625799,WHVZ,30,0,0,0,2010-11-11T11:02:02Z,9999-01-01T00:00:00Z
Setra,270-600/24V,2625800,GNSW,30,0,0,0,2006-08-30T12:00:02Z,2007-01-23T12:00:00Z
Setra,270-600/24V,2625800,WSRZ,30,0,0,0,2013-04-07T16:00:00Z,9999-01-01T00:00:00Z
Setra,270-800/12V,MIC_CAN,COVZ,32,0,0,-10,1998-03-25T10:51:00Z,2000-11-28T05:46:00Z
Setra,270-800/12V,MIC_CAN,COVZ,32,0,0,-10,1998-03-25T10:51:00Z,2000-11-28T05:46:00Z
