Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
PEL,SP1,01,Golden Downs Ranger Station,1966-11-14T12:00:00Z,1980-04-28T12:00:00Z
PEL,SP1,02,Westport Telephone Exchange,1969-05-26T12:00:00Z,1993-03-03T11:00:00Z
PEL,SP1,02,Buller District Council,1993-03-03T11:00:00Z,2001-08-22T12:00:00Z
PEL,SP1,03,Cheviot Post Office,1963-08-17T12:00:00Z,1968-12-03T12:00:00Z
PEL,SP1,03,Cheviot Post Office,1969-07-24T12:00:00Z,1993-06-24T12:00:00Z
PEL,SP1,04,Maruia Springs Hotel,1963-08-16T12:00:00Z,1967-12-31T12:00:00Z
PEL,SP1,05,Reefton Forestry Headquarters,1963-08-15T12:00:00Z,1995-04-05T12:00:00Z
PEL,SP1,05,Reefton DOC Centre,1995-04-05T12:00:00Z,2001-08-22T12:00:00Z
PEL,SP1,06,IRL Gracefield Campus,1965-12-31T12:00:00Z,1974-07-11T12:00:00Z
PEL,SP1,06,IRL Gracefield Campus,1974-07-11T12:00:00Z,1986-07-06T12:00:00Z
PEL,SP1,07,Christchurch Arts Centre,1963-08-18T12:00:00Z,1982-08-31T12:00:00Z
PEL,SP1,07,Christchurch Arts Centre,1989-06-20T12:00:00Z,2001-05-07T12:00:00Z
PEL,SP1,08,Canterbury University Engineering School,1963-08-18T12:00:00Z,2002-07-16T12:00:00Z
PEL,SP1,09,Murchison Post Office,1963-08-14T12:00:00Z,1980-11-18T11:00:00Z
PEL,SP1,10,Westport Telephone Exchange,1963-08-14T12:00:00Z,1969-05-26T12:00:00Z
PEL,SP1,11,Picton Post Office,1963-08-12T12:00:00Z,1989-11-19T11:00:00Z
PEL,SP1,11,Picton Port of Marlborough Building,1989-11-19T11:00:00Z,2002-10-08T11:00:00Z
PEL,SP1,12,Hanmer Springs Fire Station,1963-08-16T12:00:00Z,1999-09-20T12:00:00Z
PEL,SP1,13,Blenheim Telephone Exchange,1963-08-19T12:00:00Z,1966-11-17T12:00:00Z
PEL,SP1,15,Havelock Post Office,1963-08-12T12:00:00Z,2001-08-28T12:00:00Z
PEL,SP1,16,Kaikoura Telephone Exchange,1963-08-19T12:00:00Z,1989-03-05T12:00:00Z
PEL,SP1,16,Kaikoura Marine Laboratory,1989-03-05T12:00:00Z,2002-10-08T11:00:00Z
PEL,SP1,17,Motueka Post Office,1963-08-13T12:00:00Z,2002-10-08T11:00:00Z
PEL,SP1,18,Hokitika Post Office,1963-08-15T12:00:00Z,1989-03-02T11:00:00Z
PEL,SP1,18,Hokitika Telecom Line Depot,1989-03-02T11:00:00Z,1992-06-15T12:00:00Z
PEL,SP1,18,Wellington Parliament Buildings,1992-07-30T12:00:00Z,1992-09-03T12:00:00Z
PEL,SP1,18,Hokitika Medical Centre,1993-03-04T11:00:00Z,2001-08-23T12:00:00Z
PEL,SP1,19,Greymouth Telephone Exchange,1963-08-14T12:00:00Z,2001-08-23T12:00:00Z
PEL,SP1,20,Nelson Telephone Exchange,1963-08-13T12:00:00Z,1970-04-08T12:00:00Z
PEL,SP1,20,Nelson Telephone Exchange,1970-05-25T12:00:00Z,1991-02-25T11:00:00Z
PEL,SP2,21,Taihape Post Office,1966-04-19T12:00:00Z,1986-03-23T12:00:00Z
PEL,SP2,21,Taihape Post Office,1986-09-25T12:00:00Z,1995-09-16T12:00:00Z
PEL,SP2,22,Balclutha Post Office,1969-07-21T12:00:00Z,1976-02-23T11:00:00Z
PEL,SP2,22,Balclutha Telephone Exchange,1976-02-23T11:00:00Z,2004-03-21T12:00:00Z
PEL,SP2,23,Ohakune Telephone Exchange,1966-04-19T12:00:00Z,2001-12-10T11:00:00Z
PEL,SP2,24,Whangarei Old Telephone Exchange,1964-02-18T12:00:00Z,1969-09-26T12:00:00Z
PEL,SP2,24,Palmerston North Telephone Exchange,1969-11-30T12:00:00Z,1999-12-09T11:00:00Z
PEL,SP2,25,Auckland Central Post Office,1964-02-18T12:00:00Z,1969-09-29T12:00:00Z
PEL,SP2,25,Waipawa Post Office,1971-09-14T12:00:00Z,2005-06-22T12:00:00Z
PEL,SP2,26,Wellsford Telephone Exchange,1964-02-18T12:00:00Z,1969-09-26T12:00:00Z
PEL,SP2,26,Mohaka Bridge,1973-01-30T12:00:00Z,1977-07-18T12:00:00Z
PEL,SP2,27,Taumarunui Telephone Exchange,1966-04-20T12:00:00Z,2001-12-12T11:00:00Z
PEL,SP2,28,Thames Post Office,1966-04-21T12:00:00Z,1984-10-25T12:00:00Z
PEL,SP2,28,Thames Telephone Exchange,1984-10-25T12:00:00Z,2002-09-01T12:00:00Z
PEL,SP2,29,Masterton Telephone Exchange,1964-10-14T12:00:00Z,1968-12-08T12:00:00Z
PEL,SP2,29,Roxburgh Gallery,1969-07-17T12:00:00Z,2004-03-22T12:00:00Z
PEL,SP2,30,Otaki Telephone Exchange,1964-02-11T12:00:00Z,1966-04-27T12:00:00Z
PEL,SP2,30,Lower Hutt Haywards Substation,1969-01-12T12:00:00Z,2000-11-16T11:00:00Z
PEL,SP2,31,Te Kauwhata Post Office,1964-04-19T12:00:00Z,1969-09-30T12:00:00Z
PEL,SP2,31,Lauder DSIR Station,1970-06-30T12:00:00Z,1990-10-08T11:00:00Z
PEL,SP2,31,Lauder NIWA Station Shed,1990-10-08T11:00:00Z,2001-04-07T12:00:00Z
PEL,SP2,32,Tauranga Telephone Exchange,1966-04-22T12:00:00Z,2002-09-01T12:00:00Z
PEL,SP2,33,Taupo Post Office,1966-04-23T12:00:00Z,1975-07-20T12:00:00Z
PEL,SP2,33,Murchison Post Office,1980-11-18T11:00:00Z,1989-02-28T11:00:00Z
PEL,SP2,33,Murchison MWD Depot Office,1989-02-28T11:00:00Z,1996-04-01T12:00:00Z
PEL,SP2,34,Pahiatua Telephone Exchange,1964-10-19T12:00:00Z,1969-08-17T12:00:00Z
PEL,SP2,34,Hawera Telephone Exchange,1969-12-01T12:00:00Z,2001-12-10T11:00:00Z
PEL,SP2,35,Warkworth Telephone Exchange,1974-12-05T11:00:00Z,1993-01-21T11:00:00Z
