Make,Model,Serial,Number,Scale Factor,Scale Bias,Scale Absolute,Frequency,Start Date,End Date
Danish Meteorological Institute,FGE,S0263,0,37683.0/59.0,59.0/255.0,,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0263,1,37968.0/59.0,59.0/255.0,,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0263,2,-37618.0/59.0,59.0/255.0,-38000,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0263,3,10,,,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0263,4,10,,,,2013-12-15T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0330-E0397,0,38386/118.0,118.0/255.0,,,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0330-E0397,1,38329.0/118.0,118.0/255.0,,,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0330-E0397,2,38543.0/118.0,118.0/255.0,,,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0330-E0397,3,10,,,,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0330-E0397,4,10,,,,2011-07-25T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0437-E0564,0,37332.0/38.3,38.3/255.0,,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0437-E0564,1,37141.0/38.3,38.3/255.0,,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0437-E0564,2,-36911.0/38.3,38.3/255.0,-38000,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0437-E0564,3,10,,,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
Danish Meteorological Institute,FGE,S0437-E0564,4,10,,,,2022-03-19T00:00:00Z,9999-01-01T00:00:00Z
